Frame,Onset time,Narrative details (external events),Narrative details (internal state),Characters on screen,Music presence,Speech,Character speaking,Indoor/outdoor,Setting,Scene name
12850,511.0,PJ the Waiter looks at Alfred Paper Boy and compliments his willingness to be violent.,The shootout has gained Alfred Paper Boy respect from people who admire rap music's culture of prideful violence.,PJ the Waiter,no,But it's good to see a rapper that'll just blow a nigga brains out on the streets.,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
12939,514.56,Alfred Paper Boy covers his mouth with his hand and looks sideways at Darius,Alfred Paper Boy is taken aback by PJ the Waiter's assumption he is violent and would murder someone.,Alfred Paper Boy,no,"That's that '90s shit, B!",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13011,517.44,"Darius stares at Alfred Paper Boy, then looks at PJ the Waiter",Darius shares Alfred Paper Boy's surprise.,Darius,no,Ayo,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13065,519.6,PJ the Waiter says under his breath that the cook made them something special.,PJ the Waiter is showing his appreciation for Alfred Paper Boy,PJ the Waiter,no,My boy hooked you up. He made you the lemon pepper joints,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13175,524.0,PJ the Waiter whispers meaningfully that the wings have sauce on them.,The wing sauce is unusual and special.,PJ the Waiter,no,But these got the sauce on them.,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13244,526.76,PJ the Waiter leans back and looks at Alfred Paper Boy knowingly. Alfred Paper Boy exclaims.,The lemon pepper wings with sauce are special and unusual.,PJ the Waiter,no,"Oh, snap.",Alfred Paper Boy,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13268,527.72,Alfred Paper Boy exclaims and leans over to look in the to go box.,Alfred Paper Boy is impressed and surprised.,Alfred Paper Boy,no,Lemon pepper wet?,Alfred Paper Boy,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13324,529.96,Darius dramatically opens the to go box of wings. The contents of the box are glowing on his face. He and Alfred Paper Boy look longingly at the wings.,Alfred Paper Boy and Darius are impressed by the special wings.,"Darius, Alfred Paper Boy",no,Oh my god.,Darius,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13429,534.16,Darius and Alfred Paper Boy stare into the glowing box of wings and shake their heads. PJ the Waiter gets their attention and they look up at him.,Alfred Paper Boy and Darius are in awe of the wings.,"Darius, Alfred Paper Boy",no,"Hey, hey, ayo, my nigga",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13467,535.68,PJ the Waiter looks around the restaurant and whispers to hide the wings.,The lemon pepper wet wings are special and not offered.,"PJ the Waiter, Alfred Paper Boy",no,"Put that down, man.",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13493,536.72,Darius closes the top of the to go box and the glow fades away. Alfred Paper Boy sits back down. They both look at PJ the Waiter.,,"Darius, Alfred Paper Boy",no,,,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13543,538.72,Pj the Waiter tells Darius and Alfred Paper Boy that the restaurant does not usually offer the special wings,,"Darius, Alfred Paper Boy",no,"Yeah, see, we don't normally do that",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13574,539.96,"PJ the Waiter says that his friend, Sam, the cook, made the wings special for them. He points at Sam across the room",,PJ the Waiter,no,"but my man, Sam, he hooked you all up. Holla at him.",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13668,543.72,Sam the Cook stands in the doorway to the kitchen and nods his head slightly at Alfred Paper Boy,Sam the Cook also respects Alfred Paper Boy,Sam the Cook,no,,,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13725,546.0,Alfred Paper Boy raises his hand at Sam the Cook in thanks for the special wings. Darius gives him a military salute. PJ the Waiter gets their attention.,,"Darius, Alfred Paper Boy",no,"Cool, cool, cool, cool, cool ""Ayo""","Alfred Paper Boy, PJ the Waiter",indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13803,549.12,PJ the Waiter points at the take out box and says he gave them a lot of blue cheese as well.,,PJ the Waiter,no,I put a bunch of that blue cheese in there,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13846,550.84,"Alfred Paper Boy bangs his hand on the table, grins, and grunts. He reaches out and shakes PJ the Waiter's hand",Alfred Paper Boy is excited about and appreciates the blue cheese.,"Alfred Paper Boy, PJ the Waiter",no,"too ""Yeah, man!""","PJ the Waiter, Alfred Paper Boy",indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13916,553.64,"PJ the Waiter, still holding Alfred Paper Boy's hand, encourages him to keep doing what he is doing.",,PJ the Waiter,no,"Ayo, keep doing your thing man, alright?",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
13997,556.88,"PJ the Waiter tells Alfred Paper Boy that he is one of the last ""real"" rappers.",,PJ the Waiter,no,You one of the last real rappers.,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14047,558.88,"Alfred Paper Boy and PJ the Waiter shake hands, and point finger guns at each other. PJ the Waiter prepares to leave and Alfred Paper Boy nods his head.",PJ the Waiter and Alfred Paper Boy share mutual respect.,"Alfred Paper Boy, Darius",no,"Keep holding it down, my nigga.",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14143,562.72,"PJ the Waiter begins to walk away, but pauses and whispers to Alfred Paper Boy",,PJ the Waiter,no,"Don't let me down, man.",PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14207,565.28,Alfred Paper Boy looks up,Alfred Paper Boy is taken aback,Alfred Paper Boy,no,,,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14248,566.92,PJ the Waiter pauses before continuing,PJ the Waiter looks at Alfred Paper Boy seriously,PJ the Waiter,no,If you let me down...,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14316,569.64,"PJ the Waiter pauses again before finishing his sentence. His eyes dart sideways, then he smiles and walks away.","PJ the Waiter suddenly turns serious, even threatening.",PJ the Waiter,no,...I don't know what I'd do.,PJ the Waiter,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14444,574.76,Alfred Paper Boy stares silently forward. PJ the Waiter bumps him on the arm and walks away. Darius smells the chicken wings.,"Alfred Paper Boy is conflicted, feeling a new pressure to not let a fan down.","Alfred Paper Boy, Darius, PJ the Waiter",no,,,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14525,578.0,"Alfred Paper Boy turns and looks after PJ the Waiter as he walks away. Darius looks up, taps Alfred Paper Boy on the shoulder, and congratulates him. Alfred Paper Boy turns to him and nods.",Alfred Paper Boy is conflicted about the image PJ the Waiter respects him for. Darius is excited.,"Alfred Paper Boy, Darius, PJ the Waiter",no,"Yo, you got that juice, baby!",Darius,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14604,581.16,Alfred Paper Boy turns to Darius and answers shortly.,Alfred Paper Boy is internally conflicted.,"Alfred Paper Boy, Darius",no,Yeah,Alfred Paper Boy,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14644,582.76,"Alfred Paper Boy turns back around and stares after PJ the Waiter for another long moment, before turning back to Darius. Darius opens the take out box and examines the wings.",Alfred Paper Boy is internally conflicted. Darius is oblivious to the situation and focused on the wings.,"Alfred Paper Boy, Darius",no,,,indoor,J. R. Crickets Restaurant,One of the Last Real Rappers
14757,587.28,"A man with dreadlocks in a grey shirt is standing in front of Alfred Paper Boy, checking out at a gas station convenience store. He turns and glances behind himself.",,Customer,no,,,indoor,Gas station convenience store,Gas Station Suspicion
14825,590.0,"Alfred Paper Boy stands bored in line, staring off. He catches the man checking out glancing back at him.",,Alfred Paper Boy,no,,,indoor,Gas station convenience store,Gas Station Suspicion
14872,591.88,The man turns back around and finishes paying.,,Customer,no,,,indoor,Gas station convenience store,Gas Station Suspicion
14919,593.76,"The man pockets his wallet, nods at the cashier, and walks away.",,"Customer, Alfred Paper Boy, Cashier",no,,,indoor,Gas station convenience store,Gas Station Suspicion
15002,597.08,Alfred Paper Boy walks up to the counter and pulls out his wallet.,,"Alfred Paper Boy, Cashier",no,,,indoor,Gas station convenience store,Gas Station Suspicion
15041,598.64,Alfred Paper Boy buys cigarillos and gas. He drops a bill on the counter and looks after the man in front of him.,Alfred Paper Boy is suspicious of the man.,"Alfred Paper Boy, Cashier",no,"Hey, uhh, let me get, umm, a four pack of them Swishers and, uhh, put the rest on pump five.",Alfred Paper Boy,indoor,Gas station convenience store,Gas Station Suspicion
15178,604.12,Alfred Paper Boy continues staring after the man and puts his wallet away. He tells the cashier he does not need a bag.,Alfred Paper Boy is suspicious of the man.,"Alfred Paper Boy, Cashier",no,I don't need a bag.,Alfred Paper Boy,indoor,Gas station convenience store,Gas Station Suspicion
15272,607.88,The cashier responds and rings him up.  Alfred Paper Boy looks at him.,Alfred Paper Boy is surprised.,"Alfred Paper Boy, Cashier",no,I know.,Cashier,indoor,Gas station convenience store,Gas Station Suspicion
15334,610.36,"Alfred Paper Boy taps the pack of Swishers against his hand, holds them in his mouth, and walks away.",,"Alfred Paper Boy, Cashier",no,,,indoor,Gas station convenience store,Gas Station Suspicion
15445,614.8,Alfred Paper Boy walks out the door of the convenience store. Loud music is coming from one of the cars.,,Alfred Paper Boy,yes,,,outdoor,Gas station,Gas Station Suspicion
15519,617.76,Alfred Paper Boy walks slowly toward his car and passes a woman entering the store. He turns and stares at her as she goes by.,,Alfred Paper Boy,yes,,,outdoor,Gas station,Gas Station Suspicion
15629,622.16,Alfred Paper Boy walks up to the gas pump at his car.,,Alfred Paper Boy,yes,,,outdoor,Gas station,Gas Station Suspicion
15684,624.36,Alfred Paper Boy walks up to the pump and suddenly looks up across the parking lot.,Alfred Paper Boy is suspicious.,Alfred Paper Boy,yes,,,outdoor,Gas station,Gas Station Suspicion
15769,627.76,"The man from inside the convenience store stands, leaning on a car and talking to another man inside it. The two look over at Alfred Paper Boy as they talk.",The men may be talking about Alfred Paper Boy,Customer,yes,,,outdoor,Gas station,Gas Station Suspicion
15851,631.04,"Alfred Paper Boy stares at the men for a moment, then looks down and begins pumping gas.",Alfred Paper Boy is suspicious of the men.,Alfred Paper Boy,yes,,,outdoor,Gas station,Gas Station Suspicion
15919,633.76,"Alfred Paper Boy replaces the pump, walks over to his car, and gets in. Darius is sitting in the passenger seat.",,"Alfred Paper Boy, Darius",yes,,,outdoor,Gas station,Gas Station Suspicion
16063,639.52,Alfred Paper Boy shuts the door and stares at the men across the parking lot.,Alfred Paper Boy is suspicious of the men.,"Alfred Paper Boy, Darius",yes,,,outdoor,Gas station,Gas Station Suspicion
16103,641.12,Darius says he wants to go inside and buy a Cow Tale.  Alfred Paper Boy stares at the men.,Alfred Paper Boy is suspicious of the men. Darius has not noticed.,"Alfred Paper Boy, Darius",yes,"Yo, I'm gonna go get me a Cow Tale.",Darius,outdoor,Gas station,Gas Station Suspicion
16135,642.4,"Alfred Paper Boy, still staring at the men, raises his hand and cuts Darius off.",Alfred Paper Boy is suspicious of the men.,"Alfred Paper Boy, Darius",yes,No.,Alfred Paper Boy,outdoor,Gas station,Gas Station Suspicion
16168,643.72,"Alfred Paper Boy, still staring at the men, starts the car and begins driving.",Alfred Paper Boy is suspicious of the men. Darius is sad he cannot get a Cow Tale.,"Alfred Paper Boy, Darius",yes,,,outdoor,Gas station,Gas Station Suspicion
16278,648.12,Alfred Paper Boy's and Darius's car pulls out of the gas station.,,"Alfred Paper Boy, Darius",yes,,,outdoor,Gas station,Gas Station Suspicion
16368,651.72,A gloved hand fills a small plastic cup with juice from a Gatorade cooler and passes it to Earn.,,,no,,,indoor,Jail waiting room,Treating Lee
16446,654.84,Earn accepts the cup gingerly.,Earn is disgusted by the liquid in the cup.,Earn,no,,,indoor,Jail waiting room,Treating Lee
16506,657.24,Earn pulls a hair out of the drink.,,Earn,no,,,indoor,Jail waiting room,Treating Lee
16545,658.8,The hand passes a sandwich to Earn.  Earn looks at the man who gave it to him.,Earn is disgusted by the prison food.,Earn,no,,,indoor,Jail waiting room,Treating Lee
16636,662.44,Earn holds up the sandwich and examines it. A voice gets his attention.,Earn is disgusted by the prison food.,Earn,no,Hey,Old Inmate,indoor,Jail waiting room,Treating Lee
16690,664.6,"An older black man with white hair, wearing a red flowed shirt, asks Earn if he wants his sandwich.",,Old Inmate,no,You gonna eat that?,Inmate,indoor,Jail waiting room,Treating Lee
16745,666.8,Earn looks at the sandwich and offers it to the older inmate.,,Earn,no,"Nah, that's all you.",Earn,indoor,Jail waiting room,Treating Lee
16809,669.36,Earn hands the older inmate the sandwich. The man looks at Earn and laughs.,,"Earn, Old Inmate, Buck",no,,,indoor,Jail waiting room,Treating Lee
16866,671.64,"The older inmate turns and tells Earn he is not going to survive in prison, then starts to eat his food.",,Old Inmate,no,"You ain't gonna make it in here, boy.",Old Inmate,indoor,Jail waiting room,Treating Lee
16966,675.64,"Earn silently looks away. He notices Lee, the mentally handicapped inmate, making strange noises.",,Earn,no,,,indoor,Jail waiting room,Treating Lee
17121,681.84,"Lee, wearing a hospital gown, dances and walks in a strange way.",,"Lee, Buck",no,,,indoor,Jail waiting room,Treating Lee
17225,686.0,A few of the inmates watch Lee,,"Buck, Old Inmate",no,,,indoor,Jail waiting room,Treating Lee
17278,688.12,"Lee continues dancing strangely. Officer Jones walks up to Lee, laughs, and talks to him.",,"Lee, Officer Jones, Buck, Grady, Earn",no,What kind of dancing is that?,Officer Jones,indoor,Jail waiting room,Treating Lee
17329,690.16,"Officer Jones laughs, hits Lee on the shoulder, and tells him to sit down.",Officer Jones is used to Lee's antics and is disinterested.,"Lee, Officer Jones, Buck, Grady, Earn",no,"Lee, go sit down somewhere.",Officer Jones,indoor,Jail waiting room,Treating Lee
17388,692.52,Lee continues moving around the waiting room.  Officer Jones comments.,,Lee,no,That guy never quits.,Officer Jones,indoor,Jail waiting room,Treating Lee
17426,694.04,The older inmate takes a bite out of Earn's cookie and watches Lee.,,Old Inmate,no,,,indoor,Jail waiting room,Treating Lee
17478,696.12,A black female officer holding a clipboard watches Lee moving strangely around the room and comments.,,"Lee, Officer Wills",no,"Boy, you up in here every week, cutting up.",Officer Wills,indoor,Jail waiting room,Treating Lee
17533,698.32,Earn watches Lee and asks if he really is in jail that often.,Earn is surprised.,Earn,no,He's in here every week?,Earn,indoor,Jail waiting room,Treating Lee
17597,700.88,An inmate turns to Earn and tells him that Lee was in jail last time he was arrested.,,"Earn, Inmate",no,He was in here last time I got locked up.,Inmate,indoor,Jail waiting room,Treating Lee
17656,703.24,Lee continues moving and dancing around the room.,,"Lee, Officer Wills",no,That nigga crazy.,Inmate,indoor,Jail waiting room,Treating Lee
17701,705.04,"Lee suddenly stops moving around and looks at his cup, then looks around worriedly.",Lee is looking for something.,Lee,no,,,indoor,Jail waiting room,Treating Lee
17784,708.36,Lee suddenly runs off.,,Lee,no,,,indoor,Jail waiting room,Treating Lee
17829,710.16,Lee runs into a bathroom and bends over. An inmate says loudly that he is going to drink from the toilet.,,"Lee, Earn, Buck, Grady, inmates",no,"Hey, look, look, look, he dipping his cup in the toilet!",Inmate,indoor,Jail waiting room,Treating Lee
17928,714.12,The inmates sit up and watch Lee. Buck says Lee is going to drink toilet water.,The inmates are suddenly interested. Buck is excited.,"Buck, Old Inmate, Inmate.",no,"Oh, man. He gon drink it!",Inmate,indoor,Jail waiting room,Treating Lee
17997,716.88,Lee brings the cup full of toilet water up to his mouth and takes a sip. An inmate sitting in front of Lee hides his face in his hand.,,Lee,no,"Oh no, he ain't gonna drink that.",Buck,indoor,Jail waiting room,Treating Lee
18107,721.28,"The inmates grimace, exclaim loudly, and laugh at Lee.","Everyone finds Lee amusing and entertaining, but they are not interested in helping him.","Buck, Old Inmate, Inmate",no,,,indoor,Jail waiting room,Treating Lee
18142,722.68,The whole room of officers and inmates laugh at Lee. None try or offer to help him.,,"Inmates, Earn",no,,,indoor,Jail waiting room,Treating Lee
18193,724.72,Earn asks why Lee is in jail every week.,Earn is surprised Lee is allowed to do these things with no intervention.,"Earn, Officer Jones, Old Inmate, Buck, Inmate",no,Why is he in here every week?,Earn,indoor,Jail waiting room,Treating Lee
18262,727.48,"Earn continues, saying Lee needs help.",Earn touches on the problem of mentally handicapped people's treatment in the prison system.,"Earn, Officer Jones, Buck, Old Inmate, Inmate",no,"He, he look like he need help.",Earn,indoor,Jail waiting room,Treating Lee
18306,729.24,Officer Jones brushes off Earn's concern and tells him to be quiet.,,"Earn, Officer Jones, Buck, Old Inmate, Inmate",no,"Hey, man, shut up.",Officer Jones,indoor,Jail waiting room,Treating Lee
18352,731.08,"Sergeant Simmons's voice, with a Southern accent, asks from off screen if the commotion is Lee.  Officer Jones walks away from Earn",,"Earn, Officer Jones, Buck, Old Inmate, Inmate",no,Don't tell me that's Lee in here again.,Sergeant Simmons,indoor,Jail waiting room,Treating Lee
18413,733.52,Officer Jones walks away from Earn and answers that it is Lee,,"Earn, Officer Jones, Buck, Old Inmate, Inmate",no,"Yeah, it's him alright.",Officer Jones,indoor,Jail waiting room,Treating Lee
18435,734.4,"Lee drinks the toilet water from his cup, and Officer Jones comments. Sergeant Simmons walks up to him, smiling.","Lee has drank from the toilet before, and the officers do not care to stop him.","Lee, Sergeant Simmons",no,Drinking the toilet water again.,Officer Jones,indoor,Jail waiting room,Treating Lee
18490,736.6,"Lee walks slowly, looking at his cup of water. Sergeant Simmons walks up to him, smiles and comments.",Sergeant Simmons is amused by Lee's actions,"Lee, Sergeant Simmons",no,Oh this guy just keeps going.,Sergeant Simmons,indoor,Jail waiting room,Treating Lee
18542,738.68,Buck grimaces and shakes his head. Another inmate laughs.,,"Buck, Inmate, Old Inmate",no,,,indoor,Jail waiting room,Treating Lee
18595,740.8,"Sergeant Simmons glances sideways at Lee, smiles, and asks how he is.",Sergeant Simmons is amused and unconcerned.,"Sergeant Simmons, Lee",no,"How's it going, Lee?",Sergeant Simmons,indoor,Jail waiting room,Treating Lee
18643,742.72,Lee turns and spits water on Sergeant Simmons.,,"Lee, Sergeant Simmons",no,,,indoor,Jail waiting room,Treating Lee
18676,744.04,"Lee spits water on Sergeant Simmons, who jumps back and glares. Another officer runs up. The inmates gasp.",Sergeant Simmons is angry,"Lee, Sergeant Simmons",no,,,indoor,Jail waiting room,Treating Lee
18722,745.88,"Lee grins. An officer grabs him from behind, knocking the cup of water out of his hands",,"Lee, Officer",no,,,indoor,Jail waiting room,Treating Lee
18744,746.76,Sergeant Simmons pulls out his baton.,,Sergeant Simmons,no,,,indoor,Jail waiting room,Treating Lee
18760,747.4,"Sergeant Simmons glares at Lee, winds up and hits him hard across the face with his baton.",,Sergeant Simmons,no,,,indoor,Jail waiting room,Treating Lee
18782,748.28,Earn and the other inmates flinch and gasp as Sergeant Simmons beats Lee.,Earn and the inmates are shocked at the violence.,"Earn, Inmate",no,,,indoor,Jail waiting room,Treating Lee
18814,749.56,Sergeant Simmons and the other officer wrestle Lee to the ground as the other inmates watch.,,"Sergeant Simmons, Lee, Officer, Earn, Buck, Grady, inmates",no,,,indoor,Jail waiting room,Treating Lee
18847,750.88,An alarm sounds and more officers rush to subdue Lee. Lee screams.,,"Lee, Sergeant Simmons, Officer Jones, Officer",no,,,indoor,Jail waiting room,Treating Lee
18936,754.44,Earn looks down silently as Lee screams and the alarm sounds.,Earn is uncomfortable and angry with Lee's treatment.,"Earn, Inmate",no,,,indoor,Jail waiting room,Treating Lee
19040,758.6,The officers wrestle to handcuff Lee on the floor. Lee continues screaming. The alarm continues blaring.,,"Lee, Sergeant Simmons, Officer Jones, Officer",no,,,indoor,Jail waiting room,Treating Lee
19166,763.64,"Earn and the other inmates sit silently, eyes downcast, as the officers subdue a screaming Lee. The alarm keeps sounding.",Earn and the other inmates are now uncomfortable with the officers' treatment of Lee,"Earn, Buck, Old Inmate, Inmate",no,,,indoor,Jail waiting room,Treating Lee
19358,768.76,"Darius opens the door off screen. He walks into Alfred Paper Boy's house and greets him, looking at his phone.",,Darius,no,"Yeah! Hey, bruh",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
19436,771.88,"Darius, still looking at his phone, sits down on the couch and tells Alfred Paper Boy that XXL Magazine covered the shooting.",,Darius,no,"Uh, Double X L just picked up your story.",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
19517,775.12,Alfred Paper Boy walks in and sits down at the table. Darius continues talking about his publicity.,,Alfred Paper Boy,no,And...it looks like Complex got you at song,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
19635,779.84,"Darius, sitting on the couch and looking at his phone, continues talking to Alfred Paper Boy at the table behind him.",,"Darius, Alfred Paper Boy",no,"of the month, bruh.",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
19676,781.48,Alfred Paper Boy responds shortly. Darius nods his head.,Alfred Paper Boy is disinterested in the publicity.,"Darius, Alfred Paper Boy",no,Cool,Alfred Paper Boy,indoor,Alfred Paper Boy's house,Alfred's Mood
19723,783.36,Darius pauses for a second and looks up from his phone. He questions Alfred Paper Boy's lack of excitement at the news.,,"Darius, Alfred Paper Boy",no,Well that don't sound like you think it's cool.,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
19825,787.44,Alfred Paper Boy rubs his face and does not respond.,Alfred Paper Boy is brooding about something.,"Darius, Alfred Paper Boy",no,,,indoor,Alfred Paper Boy's house,Alfred's Mood
19878,789.56,"Darius turns around and suggests they go out to a club and pick up women, who will love Alfred Paper Boy because he is a thug.",Darius tries to make Alfred Paper Boy feel better and lift his mood.,Darius,no,"We should go out. Them crazy girls that be over at Edgewood, man, they love a thug.",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20032,795.72,Alfred Paper Boy leans his head back and closes his eyes. Darius continues.,Alfred Paper Boy is not interested or receptive. Darius continues trying to encourage him.,Alfred Paper Boy,no,You gon clean it all up,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20064,797.0,Alfred Paper Boy responds that he does not feel like going to a club.,"Alfred Paper Boy feels down, in a strange mood.",Alfred Paper Boy,no,"Nah, man, I don't know, man, I'm not feeling it.",Alfred Paper Boy,indoor,Alfred Paper Boy's house,Alfred's Mood
20119,799.2,"Alfred Paper Boy slouches in his chair and continues, saying he does not want to be around people because he feels weird.",Alfred Paper Boy is thinking about the people from that day who have seen him differently because of the shooting.,Alfred Paper Boy,no,"I don't feel like being around people today. I just, I'm getting this weird, like, energy today.",Alfred Paper Boy,indoor,Alfred Paper Boy's house,Alfred's Mood
20267,805.12,"Darius, sitting on the couch, suggests they go play pool instead, since the people there are cool.",,Darius,no,"Well, yo, maybe we could go shoot some pool, right? The cool up there.",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20378,809.56,Alfred Paper Boy rolls his eyes. Darius reminds him of a waitress he likes that he could see.,Alfred Paper Boy feels strange and unmotivated.,Alfred Paper Boy,no,"Plus, you know, you could talk to that little waitress, you know",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20447,812.32,"Darius, sitting on the couch, gestures at his head and describes the waitress's hair.",,Darius,no,with the hair thing going on.,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20506,814.68,"Alfred Paper Boy, sitting in the chair, stares at the table in front of him and answers quietly.",Alfred Paper Boy is disinterested.,"Alfred Paper Boy, Darius",no,Yeah...maybe.,Alfred Paper Boy,indoor,Alfred Paper Boy's house,Alfred's Mood
20537,815.92,Darius's phone makes a noise and he turns to check it.  Alfred Paper Boy does not move.,,"Alfred Paper Boy, Darius",no,Oh,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20611,818.88,Darius gets Alfred Paper Boy's attention.,,"Alfred Paper Boy, Darius",no,"Hey, bruh.",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20649,820.4,Darius says that he has Google Alerts set to give him news about Alfred Paper Boy. Alfred Paper Boy looks at his watch.,Alfred Paper Boy is bored and disinterested.,"Alfred Paper Boy, Darius",no,"I got Google Alerts set up on you, and it look like",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20712,822.92,Darius starts reading one of the headlines. Alfred Paper Boy stands up and from the table and starts to walk away.,Alfred Paper Boy is moody and disinterested.,"Alfred Paper Boy, Darius",no,"the Vibe wrote one. It says, Is Paper Boy",Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20812,826.92,Darius looks at his phone and reads the headline comparing Alfred Paper Boy to Tupac Shakur. Alfred Paper Boy walks out of the house.,,"Darius, Alfred Paper Boy",no,Atlanta's Tupac?,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20872,829.32,Darius pauses as he reads the article. The door shuts behind Alfred Paper Boy,,Darius,no,,,indoor,Alfred Paper Boy's house,Alfred's Mood
20912,830.92,Darius says the article said no. Alfred Paper Boy is no longer in the house.,,Darius,no,They say no.,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
20944,832.2,"Darius continues, reading a different article on his phone.",Darius is oblivious to the fact that Alfred Paper Boy left and is no longer listening.,Darius,no,But apparently John Boyega is the new Magic Johnson. Huh.,Darius,indoor,Alfred Paper Boy's house,Alfred's Mood
21112,838.92,"Alfred Paper Boy walks alone down a street, outside. A group of three men sit or stand on some steps and talk.",,Alfred Paper Boy,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21251,844.48,Alfred Paper Boy walks casually down the sidewalk.,,Alfred Paper Boy,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21359,848.8,"Suddenly Alfred Paper Boy notices something off screen. He stops, and can hear the sound of children playing with toy guns.",Alfred Paper Boy is troubled.,Alfred Paper Boy,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21503,854.56,"Alfred stands and listens for a moment, and makes a face.",Alfred Paper Boy is bothered by the children playing the toy guns.,Alfred Paper Boy,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21560,856.84,Alfred Paper Boy narrows his eyes and decides to walk over and approach the children.,Alfred Paper Boy is bothered by the children playing with toy guns.,Alfred Paper Boy,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21712,862.92,"Asia, a young black girl, runs up the steps. Children shout and toy guns are making noises.",,Asia,no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21794,866.2,"Asia runs, chased by a young black boy, Demarrio, wearing a hat and holding a toy gun and pretending to shoot her. Asia pretends to be shot and falls to the ground.",,"Asia, Demarrio",no,,,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21885,869.84,Demarrio lowers the toy gun and compares himself to Paper Boy.,,"Demarrio, Asia",no,"Just like Paper Boy, girl!",Demarrio,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21937,871.92,"Another young black boy, Chris, walks up to Demarrio and asks for the toy gun.",,Chris,no,"Let me see it, Demarrio!",Chris,outdoor,Outside Decatur Apartments,Just Like Paper Boy
21972,873.32,Demarrio turns and points the toy gun at Chris. He tells him to back up or he will shoot.,,"Demarrio, Chris, Asia",no,"Back up or I smoke you, man.",Demarrio,outdoor,Outside Decatur Apartments,Just Like Paper Boy
22038,875.96,"Crystal, a black woman who is Demarrio's mother, notices the children playing with the toy gun and walks toward Demarrio, speaking sternly.",Crystal is angry with the children for playing with the toy gun.,"Demarrio, Chris, Crystal",no,Boy! What is your problem?,Crystal,outdoor,Outside Decatur Apartments,Just Like Paper Boy
22133,879.76,Crystal grabs Demarrio firmly by the collar and pulls the gun out of his hand. She scolds him for playing with the toy gun. Asia stands up.,Crystal is angry with the children for playing with the toy gun.,"Crystal, Demarrio, Chris, Asia",no,Didn't I tell you that we do not play with guns in this house?,Crystal,outdoor,Outside Decatur Apartments,Just Like Paper Boy
